theme,question,reponse_correcte,reponse_fausse_1,reponse_fausse_2,reponse_fausse_3,explication_scientifique,source_fiable
Équipage,"Qui sont les quatre astronautes de la mission Artemis II ?","Reid Wiseman, Victor Glover, Christina Koch et Jeremy Hansen","Neil Armstrong, Buzz Aldrin, Michael Collins et Gene Cernan","Reid Wiseman, Thomas Pesquet, Christina Koch et Jeremy Hansen","Victor Glover, Sunita Williams, Butch Wilmore et Jeremy Hansen","L'équipage d'Artemis II est composé de Reid Wiseman (commandant, NASA), Victor Glover (pilote, NASA), Christina Koch (spécialiste de mission, NASA) et Jeremy Hansen (spécialiste de mission, Agence spatiale canadienne).","NASA — Artemis II (nasa.gov/mission/artemis-ii)"
Équipage,"Quelle première historique Jeremy Hansen représente-t-il dans Artemis II ?","Il est le premier non-Américain (Canadien) à voyager vers la Lune","Il est le premier civil à marcher sur la Lune","Il est le premier astronaute à rester un an dans l'espace","Il est le premier humain à se poser sur la face cachée","Jeremy Hansen, de l'Agence spatiale canadienne (CSA), devient avec Artemis II le premier astronaute non-américain à voyager vers la Lune.","NASA — Artemis II ; Wikipédia — Artemis II"
Mission Artemis II,"Quel exploit Artemis II réussit-elle pour la première fois depuis Apollo 17 ?","Le premier vol habité au-delà de l'orbite basse terrestre","Le premier alunissage habité","Le premier vol habité autour de Mars","Le premier amarrage à une station lunaire","Artemis II a réussi le premier vol habité au-delà de l'orbite basse terrestre depuis Apollo 17 (décembre 1972), lors d'une mission d'environ 10 jours. C'est aussi le premier vol habité du SLS et de la capsule Orion.","NASA — Liftoff Artemis II ; Wikipédia — Artemis II"
Mission Artemis II,"Quand Artemis II a-t-elle décollé du Kennedy Space Center ?","Le 1er avril 2026 à 18:35 EDT","Le 5 février 2026 à minuit","Le 11 décembre 2017 au matin","Le 13 octobre 2020 à midi","Artemis II a décollé du Launch Complex 39B le 1er avril 2026 à 18:35 EDT (22:35 UTC), après plusieurs reports depuis la cible initiale du 5 février 2026. L'amerrissage a eu lieu dans le Pacifique le 10 avril 2026.","NASA — Artemis II launch day updates"
Mission Artemis II,"Quel type de trajectoire Artemis II a-t-elle suivi autour de la Lune ?","Un survol de type retour libre (free-return), sans alunissage","Une mise en orbite basse lunaire avec atterrissage","Un amarrage à la station Gateway","Un aller simple vers le pôle Sud","Artemis II a effectué un survol lunaire de type free-return (retour libre), sans alunissage : la trajectoire utilise la gravité de la Lune pour ramener naturellement la capsule vers la Terre.","Wikipédia — Artemis II"
Mission Artemis II,"Quel record la capsule Orion a-t-elle établi lors d'Artemis II ?","Le record de distance pour un vaisseau habité, dépassant Apollo 13","Le record de durée d'un vol habité","Le record de vitesse de rentrée atmosphérique","Le record du plus grand nombre d'astronautes à bord","Orion a établi un record de distance pour un vaisseau habité, atteignant environ 406 700 km de la Terre et dépassant le précédent record d'Apollo 13 (environ 400 171 km). Le dossier cite 406 773 km, cohérent avec la donnée publiée.","NASA — record-setting Artemis II moonfarers"
Mission Artemis II,"À quelle vitesse approximative la capsule Orion est-elle rentrée dans l'atmosphère ?","Environ 40 000 km/h (près de 11 km/s)","Environ 7 800 km/h","Environ 1 100 km/h","Environ 300 000 km/h","Au retour de l'espace lunaire, Orion est rentrée dans l'atmosphère à environ 40 000 km/h (près de 11 km/s), une vitesse conforme à une rentrée depuis la distance lunaire, bien supérieure à celle d'un retour depuis l'orbite basse.","Audit ECI — Dossier III Artemis II"
Lanceur,"Sur quel lanceur Artemis II a-t-elle volé ?","Le SLS (Space Launch System) Block 1","La fusée Saturn V","Le Falcon Heavy de SpaceX","La navette spatiale Atlantis","Artemis II a volé sur le SLS Block 1, le lanceur lourd de la NASA, surmonté de la capsule Orion. C'était le premier vol habité du SLS.","NASA — Space Launch System (nasa.gov)"
Lanceur,"Qui fournit le module de service de la capsule Orion ?","L'ESA (Agence spatiale européenne), via Airbus","SpaceX","La NASA seule","L'Agence spatiale canadienne","Le module de service européen (ESM) d'Orion est fourni par l'ESA et construit par Airbus. Il assure la propulsion, l'énergie électrique, l'eau, l'oxygène et le contrôle thermique de la capsule.","ESA — Orion (esa.int)"
Lanceur,"Combien de moteurs RS-25 propulsent l'étage central du SLS, et d'où sont-ils dérivés ?","Quatre moteurs RS-25, dérivés des moteurs de la navette spatiale (SSME)","Deux moteurs RS-25, conçus spécialement pour Artemis","Cinq moteurs F-1, hérités de Saturn V","Un seul moteur RS-25, fourni par l'ESA","L'étage central du SLS est propulsé par quatre moteurs RS-25, modernisés à partir des SSME (Space Shuttle Main Engines) de la navette, complétés par deux boosters à propergol solide.","NASA — Space Launch System ; Wikipédia — RS-25"
