id;nom_source;url;type_source;donnees_ou_points_verifies;role_dans_audit;note_fiabilite
1;Page auditée — Chronos / Horloge de l’Univers;https://empire-contre-intox.com/horloge-univers/chronos.html;Site utilisateur / objet de l’audit;Texte exact de la page auditée : formulations sur Big Bang, inflation, ère de Planck, âge Terre/Système solaire, origine de la vie, Grande Oxydation, dinosaures, extinctions, dates géologiques.;Source auditée, pas une source scientifique externe;À comparer aux références scientifiques ci-dessous.
2;Planck Collaboration 2018 — Cosmological parameters;https://www.aanda.org/articles/aa/pdf/2020/09/aa33880-18.pdf;Article scientifique / collaboration spatiale;"Âge de l’Univers ≈ 13,787 Ga ± 0,020 Ga sous modèle ΛCDM ; paramètres cosmologiques Planck 2018.";Référence principale;Source primaire très forte pour les paramètres cosmologiques Planck.
3;Planck Collaboration 2018 — arXiv version;https://arxiv.org/abs/1807.06209;Prépublication scientifique;Âge de l’Univers, H0, Ωm et cohérence générale du modèle ΛCDM Planck.;Référence complémentaire;"Version arXiv du papier Planck ; utiliser la version A&A pour citation finale."
4;NASA WMAP — Overview;https://science.nasa.gov/mission/wmap/wmap-overview/;Agence spatiale / vulgarisation institutionnelle;"Température du fond diffus cosmologique ≈ 2,725 K ; recombinaison/CMB vers 375 000 ans ; anisotropies du CMB.";Référence principale grand public;Source institutionnelle fiable pour CMB et repères cosmologiques.
5;NASA Hubble — Hubble reveals observable universe contains 10 times more galaxies;https://science.nasa.gov/missions/hubble/hubble-reveals-observable-universe-contains-10-times-more-galaxies-than-previously-thought/;Agence spatiale / communiqué scientifique;Estimation modèle-dépendante pouvant atteindre ≈ 2 × 10^12 galaxies dans l’Univers observable.;Référence principale pour l’estimation haute;"Bon support institutionnel ; préciser que le chiffre dépend des modèles et limites d’observation."
6;NASA Webb — What were the first stars like?;https://science.nasa.gov/mission/webb/science-overview/science-explainers/what-were-the-first-stars-like/;Agence spatiale / vulgarisation institutionnelle;"Premières étoiles plausiblement vers ~100–200 Ma après le Big Bang ; absence d’observation directe certaine des toutes premières étoiles.";Référence principale grand public;Fiable pour formulation prudente sur les premières étoiles.
7;Madau & Dickinson 2014 — Cosmic Star-Formation History;https://arxiv.org/abs/1403.0007;Article scientifique / revue;Pic de formation stellaire cosmique vers z ≈ 2, environ 3 à 4 Ga après le Big Bang.;Référence principale;Référence classique pour le “midi cosmique”.
8;Reionization review / arXiv 2405.21054;https://arxiv.org/html/2405.21054v1;Prépublication scientifique / revue;Réionisation : période progressive, terminée autour d’environ 1 Ga après le Big Bang avec incertitudes.;Référence complémentaire;"À utiliser prudemment car prépublication ; bonne pour nuancer les incertitudes."
9;Particle Data Group / Big-Bang nucleosynthesis review (via arXiv astro-ph/0307244);https://arxiv.org/abs/astro-ph/0307244;Revue scientifique;Nucléosynthèse primordiale : production des noyaux légers dans les premières minutes, arrêt vers ~20 minutes, proportions H/He/traces de Li.;Référence principale;"Référence scientifique solide pour BBN ; vérifier édition la plus récente si publication finale nécessaire."
10;USGS — Age of the Earth;https://pubs.usgs.gov/gip/geotime/age.html;Agence géologique / institution scientifique;"Âge de la Terre ≈ 4,54 Ga ; distinction avec les premiers solides du Système solaire vers ~4,567 Ga.";Référence principale;Référence institutionnelle fiable pour l’âge de la Terre.
11;International Commission on Stratigraphy — International Chronostratigraphic Chart 2024/12;https://stratigraphy.org/ICSchart/ChronostratChart2024-12.pdf;Référence scientifique officielle;Bornes géologiques ICS : Cambrien, Ordovicien, Silurien, Dévonien, Carbonifère, Permien, Trias, Jurassique, Crétacé, Paléogène, Néogène, Quaternaire, Holocène.;Référence principale;Source officielle pour l’échelle des temps géologiques.
12;Article PMC sur stromatolites / premières traces de vie;https://pmc.ncbi.nlm.nih.gov/articles/PMC12329462/;Article scientifique en accès libre;"Preuves anciennes de vie microbienne ; prudence sur les indices à ~3,8 Ga ; stromatolites vers ~3,5 Ga comme preuves robustes.";Référence principale/complémentaire;"Source scientifique utile ; à compléter par des articles spécialisés selon le niveau souhaité."
13;ASM — The Great Oxidation Event: How Cyanobacteria Changed Life;https://asm.org/articles/2022/february/the-great-oxidation-event-how-cyanobacteria-change;Société savante / vulgarisation scientifique;"Grande Oxydation vers ~2,4–2,1 Ga ; rôle des cyanobactéries ; enrichissement progressif en oxygène et non saturation de l’atmosphère.";Référence principale grand public;"Bonne source pédagogique ; pour publication scientifique, compléter par articles de géochimie."
14;Article PMC sur origine/eucaryotes;https://pmc.ncbi.nlm.nih.gov/articles/PMC5031615/;Article scientifique en accès libre;Fourchettes discutées pour l’apparition des eucaryotes et prudence sur les premières preuves biologiques complexes.;Référence complémentaire;Pertinent pour nuancer les dates, qui restent débattues.
15;Science — Dickinsonia biomarker paper;https://www.science.org/doi/10.1126/science.aat7228;Article scientifique;"Interprétation de Dickinsonia comme animal édiacarien ; prudence sur le classement de toute la biote d’Édiacara.";Référence principale pour l’exemple Dickinsonia;"Source scientifique forte ; une partie de la biote d’Édiacara reste discutée."
16;Our World in Data — Mass extinctions;https://ourworldindata.org/mass-extinctions;Synthèse scientifique / données;Cinq grandes extinctions, pourcentages approximatifs, prudence sur la notion de sixième extinction de masse et crise actuelle de biodiversité.;Référence principale de synthèse;"Bonne synthèse chiffrée ; préciser toujours le niveau taxonomique mesuré."
17;National Park Service — Mass extinctions through geologic time;https://www.nps.gov/subjects/fossils/mass-extinctions-through-geologic-time.htm;Institution publique / vulgarisation scientifique;"Résumé des cinq grandes extinctions ; K–Pg, Chicxulub, crise des dinosaures non aviens.";Référence complémentaire;Source pédagogique fiable pour aperçu général.
18;Reuters — Where did dinosaurs first evolve?;https://www.reuters.com/science/where-did-dinosaurs-first-evolve-scientists-have-an-answer-2025-01-23/;Article de presse scientifique;"Contexte récent sur l’origine des dinosaures ; apparition autour du Trias et non domination dès −252 Ma.";Référence complémentaire;"Presse scientifique ; à remplacer par article paléontologique primaire si besoin académique."
19;Smithsonian Human Origins — Our species arose at least 300,000 years ago;https://humanorigins.si.edu/research/whats-hot-human-origins/our-species-arose-least-300000-years-ago;Institution muséale/scientifique;"Homo sapiens au moins ~300 000 ans ; fossiles de Jebel Irhoud.";Référence principale grand public;Source fiable pour datation grand public.
20;Nature news — Jebel Irhoud / early Homo sapiens;https://www.nature.com/articles/nature.2017.22114;Article de presse scientifique Nature;Fossiles de Jebel Irhoud autour de 300–315 ka et implications pour l’origine de Homo sapiens.;Référence complémentaire;"Bon résumé scientifique ; l’article de recherche Nature associé est préférable pour citation académique."
21;Wikipedia — Big Bang;https://en.wikipedia.org/wiki/Big_Bang;Encyclopédie collaborative;Contexte général : modèle du Big Bang comme expansion depuis un état chaud et dense, non simple explosion dans l’espace.;Source de contexte complémentaire;À ne pas utiliser comme référence scientifique finale si une source primaire/institutionnelle est disponible.
