theme,question,reponse_correcte,reponse_fausse_1,reponse_fausse_2,reponse_fausse_3,explication_scientifique,source_fiable
Temps profond,"Combien de temps a-t-il fallu à la Terre pour passer d'un enfer de lave en fusion à la planète bleue ?","4,6 milliards d'années","541 millions d'années","300 000 ans","13,8 milliards d'années","Le dossier rappelle que 4,6 milliards d'années séparent l'enfer de lave en fusion des origines de la planète bleue d'aujourd'hui.","Dossier ECI — Résumé des Ères"
Temps profond,"Si on ramène les 4,6 milliards d'années à une journée de 24 heures, à quelle heure l'humanité apparaît-elle ?","À 23h58","À 4h du matin","À 21h","À 22h40","Selon l'horloge du temps profond du dossier, les bactéries apparaissent vers 4h, les organismes complexes vers 21h, les dinosaures de 22h40 à 23h39, et l'humanité seulement vers 23h58 : nous sommes les invités de la dernière seconde.","Dossier ECI — Résumé des Ères"
Précambrien,"Selon le dossier, comment est née la Lune pendant l'Hadéen ?","Par une collision titanesque entre la Terre et une protoplanète de la taille de Mars","Elle a été capturée par la gravité de la Terre","Elle s'est détachée des premiers océans","Elle s'est formée à part, loin de la Terre","Le dossier situe la naissance de la Lune à l'Hadéen, à la suite d'une collision titanesque entre la Terre et une protoplanète de la taille de Mars.","Dossier ECI — Résumé des Ères"
Précambrien,"Qu'est-ce que la Grande Oxydation décrite dans le dossier ?","Le rejet d'oxygène par les cyanobactéries, qui bouleverse la chimie planétaire et déclenche une glaciation","Une oxydation du noyau métallique de la Terre","L'apparition des premiers poissons","La fonte des premiers océans","Vers -2,4 milliards d'années, les cyanobactéries réalisent la photosynthèse et rejettent de l'oxygène ; cet événement, la Grande Oxydation, bouleverse la chimie planétaire et déclenche une glaciation transformant la Terre en boule de neige.","Dossier ECI — Résumé des Ères"
Précambrien,"Pour les organismes de l'époque, le gaz rejeté par les cyanobactéries était...","Hautement toxique","Indispensable et inoffensif","Sans aucun effet","Un gaz de refroidissement","Le dossier précise que les cyanobactéries rejettent l'oxygène, un gaz hautement toxique pour les organismes de l'époque, ce qui bouleverse la chimie planétaire.","Dossier ECI — Résumé des Ères"
Précambrien,"À quoi ressemble la faune d'Ediacara, à la toute fin du Précambrien ?","Des créatures étranges, molles et plates, sans coquille ni squelette","De petits poissons cuirassés","Des reptiles à écailles","Des coquillages durs et épais","Le dossier décrit la faune d'Ediacara, il y a environ 600 millions d'années, comme des créatures étranges, molles et plates, sans coquille ni squelette : les premières ébauches de la vie complexe.","Dossier ECI — Résumé des Ères"
Édiacarien,"De combien de millions d'années le live de l'Édiacarien propose-t-il de remonter le temps ?","550 millions d'années","66 millions d'années","2 milliards d'années","10 000 ans","Le live invite à éteindre la lumière et à redescendre de 550 millions d'années, dans les lagons primitifs de l'Édiacarien.","Dossier ECI — L'Édiacarien"
Édiacarien,"À quoi ressemblent les continents pendant l'Édiacarien ?","Des déserts minéraux totaux, sans plante ni insecte","Des forêts de fougères géantes","Des plaines d'herbe","Des marais peuplés d'amphibiens","Le dossier insiste : à l'Édiacarien les continents sont des déserts minéraux totaux, sans un brin d'herbe ni un insecte ; tout le spectacle biologique se joue sous l'eau.","Dossier ECI — L'Édiacarien"
Édiacarien,"Quelle glaciation extrême précède juste l'Édiacarien ?","La glaciation marinoenne, la Terre Boule de Neige","La glaciation du Quaternaire","Le Petit Âge glaciaire","La glaciation du Carbonifère","Le dossier rappelle que l'Édiacarien s'ouvre pile après la glaciation marinoenne (la Snowball Earth), avant un réchauffement par effet de serre dû au CO₂ volcanique.","Dossier ECI — L'Édiacarien"
Édiacarien,"Qu'a-t-on extrait d'un fossile de Dickinsonia pour prouver qu'il s'agissait d'un animal ?","Des traces de cholestérol fossilisé","Un fragment d'os","Des écailles","Des dents","Le dossier raconte que des chercheurs ont extrait des biomarqueurs d'un fossile de Dickinsonia et y ont trouvé du cholestérol fossilisé : la preuve chimique qu'il s'agissait bien d'un animal (métazoaire basal), et non d'un végétal.","Dossier ECI — L'Édiacarien"
Édiacarien,"Selon le dossier, pourquoi l'oxygène est-il indispensable à l'apparition de grands corps multicellulaires ?","C'est le carburant métabolique qui finance l'énergie d'un corps de plus de quelques millimètres","Il sert à durcir les coquilles","Il rend l'eau plus salée","Il colore les tapis microbiens","Le dossier compare l'oxygène à un chèque énergétique : sans lui, impossible de financer le coût énergétique d'un corps multicellulaire de plus de quelques millimètres avec des muscles ou des organes.","Dossier ECI — L'Édiacarien"
Édiacarien,"Quel animal de l'Édiacarien possède déjà un avant, un arrière, une gauche et une droite ?","Kimberella","Charnia","Dickinsonia","Cloudina","Le dossier présente Kimberella, ressemblant à un petit mollusque mou avec des traces de radula, comme un bilatérien primitif : la preuve que les grands embranchements animaux divergeaient déjà avant le Cambrien.","Dossier ECI — L'Édiacarien"
Édiacarien,"Que révèlent les tubes de calcaire de Cloudina percés à la fin de l'Édiacarien ?","De petits prédateurs commençaient à les percer pour manger : la prédation apparaît","Les animaux fabriquaient déjà des outils","Le climat devenait glacial","Les tubes servaient de flotteurs","Le dossier explique que des tubes de Cloudina percés montrent que de petits prédateurs commençaient à les ouvrir pour manger l'intérieur : la guerre de l'évolution venait de déclarer sa première bataille.","Dossier ECI — L'Édiacarien"
Paléozoïque,"Qu'invente la vie pendant l'Explosion Cambrienne, selon le dossier ?","Les squelettes, les coquilles et les yeux","Les plantes à fleurs","Le vol des oiseaux","Les premiers mammifères","Le dossier décrit qu'en quelques millions d'années — un battement de cils géologique — la vie invente les squelettes, les coquilles et les yeux, et les océans se remplissent de trilobites et d'Anomalocaris.","Dossier ECI — Résumé des Ères"
Paléozoïque,"Au Carbonifère, qu'est-ce qui permet à des arthropodes géants comme Meganeura de régner ?","Un taux d'oxygène qui explose grâce aux immenses forêts de fougères","Une gravité plus faible","L'absence de tout prédateur","La disparition des océans","Le dossier explique qu'au Carbonifère le climat chaud et humide favorise d'immenses forêts de fougères géantes, faisant exploser le taux d'oxygène, ce qui permet à Meganeura, une libellule de la taille d'un rapace, de régner.","Dossier ECI — Résumé des Ères"
Paléozoïque,"Quelle proportion d'espèces l'extinction Permien-Trias a-t-elle éliminée ?","Environ 95 % des espèces marines et 70 % des vertébrés terrestres","Environ 10 % des espèces","La totalité de la vie","Uniquement les dinosaures","Le dossier raconte qu'au Permien, d'immenses éruptions en Sibérie déclenchent l'extinction Permien-Trias, éliminant environ 95 % des espèces marines et 70 % des vertébrés terrestres : la Terre frôle la stérilisation totale.","Dossier ECI — Résumé des Ères"
Mésozoïque,"De quoi les premiers oiseaux ont-ils évolué, selon le dossier ?","De dinosaures théropodes","De reptiles marins","De ptérosaures","De petits mammifères","Le dossier indique qu'au Jurassique les premiers oiseaux apparaissent, évoluant directement à partir de dinosaures théropodes.","Dossier ECI — Résumé des Ères"
Mésozoïque,"Quelle nouveauté végétale apparaît au Crétacé et bouleverse les écosystèmes ?","Les premières plantes à fleurs","Les premières fougères","Les premiers conifères","Les premières mousses","Le dossier précise que le Crétacé voit l'apparition des premières plantes à fleurs, qui bouleversent les écosystèmes, à l'apogée de prédateurs comme le Tyrannosaurus rex.","Dossier ECI — Résumé des Ères"
Mésozoïque,"Selon le dossier, qu'est-ce qui provoque la disparition des dinosaures non-aviens il y a 66 millions d'années ?","Un astéroïde au Yucatán combiné aux éruptions des Trapps du Deccan, plongeant la Terre dans un hiver d'impact","Une lente glaciation mondiale","Une épidémie","La chasse par les mammifères","Le dossier décrit un astéroïde d'environ 10 km percutant le Yucatán, qui, combiné aux Trapps du Deccan, plonge la Terre dans un hiver d'impact : privées de lumière, les plantes dépérissent et les chaînes alimentaires s'effondrent.","Dossier ECI — Résumé des Ères"
Cénozoïque,"Quel groupe connaît une radiation évolutive spectaculaire après la disparition des dinosaures ?","Les mammifères","Les reptiles marins","Les trilobites","Les amphibiens géants","Le dossier explique qu'après la catastrophe, les grands survivants sont les mammifères, qui connaissent une radiation spectaculaire : terre, airs (chauves-souris) et retour à l'eau (cétacés).","Dossier ECI — Résumé des Ères"
Cénozoïque,"Depuis combien de temps environ Homo sapiens existe-t-il, selon le dossier ?","Environ 300 000 ans","Environ 6 000 ans","Environ 2 millions d'années","Environ 66 millions d'années","Le dossier situe l'apparition d'Homo sapiens en Afrique il y a environ 300 000 ans, dans le décor changeant du Quaternaire.","Dossier ECI — Résumé des Ères"
Anti-intox,"Dans la conclusion du dossier, qu'est-ce qui sépare le drone-pigeon de la réalité ?","La science : géologie, biologie et physique, vérifiables et sans besoin d'un complot mondial","La majorité des gens qui y croient","L'ancienneté de l'histoire racontée","Le talent du narrateur","Le dossier conclut qu'entre le drone-pigeon et la réalité il y a la science : la géologie, la biologie et la physique sont là, vérifiables, et n'ont pas besoin d'un complot mondial pour être passionnantes.","Dossier ECI — Résumé des Ères"
Édiacarien,"Quel supercontinent géant se disloque à l'aube de l'Édiacarien ?","Rodinia","La Pangée","Le Gondwana","La Laurasia","Le dossier explique qu'on sort de la dislocation d'un supercontinent géant nommé Rodinia, dont les morceaux dérivent et se rassemblent ensuite pour former une autre masse.","Dossier ECI — L'Édiacarien"
Édiacarien,"En se rassemblant, les morceaux de Rodinia forment quelle nouvelle masse continentale ?","Pannotia","La Pangée","La Laurasia","Le Gondwana","Le dossier précise que les morceaux de Rodinia dérivent et se rassemblent pour former une autre masse continentale, Pannotia.","Dossier ECI — L'Édiacarien"
Édiacarien,"Pourquoi les fractures entre les continents sont-elles si importantes pour la vie ?","Elles créent d'immenses mers peu profondes et des plateaux où la lumière pénètre","Elles libèrent du pétrole nourrissant","Elles réchauffent le noyau terrestre","Elles attirent des météorites riches en eau","Le dossier compare ces fractures à des milliers de kilomètres de lagons chauds : la vie n'aime pas le grand océan vide et profond, mais les eaux côtières stables où la lumière pénètre.","Dossier ECI — L'Édiacarien"
Édiacarien,"Pourquoi les océans de l'Édiacarien sont-ils si bien fertilisés ?","Aucune plante ne retient la terre, donc minéraux et sédiments glissent directement dans l'eau","Des pluies d'engrais tombaient du ciel","Les volcans crachaient des nutriments liquides","Les poissons produisaient du fumier","Le dossier souligne qu'en l'absence de plantes et de racines pour retenir la terre, des montagnes de poussière et de minéraux comme le phosphore et le calcium glissent dans l'eau : un engrais géant qui nourrit les océans.","Dossier ECI — L'Édiacarien"
Édiacarien,"Comment la Terre sort-elle de la glaciation Boule de Neige avant l'Édiacarien ?","Les volcans accumulent du CO₂ sous la glace, créant un effet de serre","Le Soleil devient brusquement plus chaud","Une pluie de météores réchauffe la surface","Les cyanobactéries absorbent toute la glace","Le dossier raconte que les volcans continuent de cracher du CO₂ sous la glace ; le gaz s'accumule pendant des millions d'années et crée un effet de serre monstrueux qui fait fondre la glace très vite.","Dossier ECI — L'Édiacarien"
Édiacarien,"Que signifie la NOE, point scientifique crucial du live ?","L'Oxygénation Néoprotérozoïque","La Nouvelle Origine de l'Évolution","Le Niveau Océanique Élevé","La Naissance des Organismes Évolués","Le dossier identifie la NOE comme l'Oxygénation Néoprotérozoïque : le réchauffement et l'activité des cyanobactéries provoquent une hausse spectaculaire du taux d'oxygène dans les océans.","Dossier ECI — L'Édiacarien"
Édiacarien,"De quoi est faite la « moquette » qui recouvre le fond des océans à l'Édiacarien ?","D'un tapis vivant de cyanobactéries et de micro-algues","De sable et de vase nus","De coraux durs","De feuilles mortes d'algues géantes","Le dossier décrit une moquette gluante de plusieurs centimètres, entrelacs de cyanobactéries et de micro-algues : le garde-manger universel et le buffet à volonté de la Terre primitive.","Dossier ECI — L'Édiacarien"
Édiacarien,"Au sens strict, où en est la « flore » (plantes vertes, algues complexes) à l'Édiacarien ?","Elle est encore embryonnaire","Elle couvre déjà les continents","Elle a déjà disparu","Elle domine les océans","Le dossier insiste sur ce point de rigueur : au sens strict les plantes vertes et algues complexes sont encore embryonnaires ; on parle surtout de structures photosynthétiques qui saturent l'eau en oxygène.","Dossier ECI — L'Édiacarien"
Édiacarien,"En combien de grands groupes morphologiques (assemblages) les paléontologues séparent-ils la faune de l'Édiacarien ?","Trois","Deux","Cinq","Dix","Le dossier explique que pour s'y retrouver, les paléontologues séparent cette faune en trois grands groupes morphologiques : les fractales/Vendobiontes, les bilatériens primitifs et les premiers constructeurs.","Dossier ECI — L'Édiacarien"
Édiacarien,"À quoi ressemble Charnia, selon le dossier ?","À une plume de mer ou une feuille de fougère géante ancrée dans la moquette","À un petit poisson cuirassé","À une étoile de mer","À un coquillage en spirale","Le dossier décrit Charnia comme une plume de mer ou une feuille de fougère géante ancrée dans le tapis microbien, parmi les énigmatiques fractales sans bouche ni organes internes.","Dossier ECI — L'Édiacarien"
Édiacarien,"Comment grandissent les « fractales » comme Charnia et Dickinsonia ?","Par répétition de motifs géométriques, sans bouche ni anus","En muant comme des insectes","En accumulant des coquilles","En se divisant en deux comme des bactéries","Le dossier précise que ces créatures plates, sans bouche, sans anus ni organe interne apparent, grandissent par répétition de motifs géométriques, comme des fractales.","Dossier ECI — L'Édiacarien"
Édiacarien,"Quel surnom le dossier donne-t-il à Dickinsonia ?","Le « tapis de bain » moléculaire","La « plume de mer »","Le « ver de velours »","La « pince géante »","Le dossier surnomme Dickinsonia le fameux « tapis de bain » moléculaire : une galette ovale et segmentée posée sur le fond marin.","Dossier ECI — L'Édiacarien"
Édiacarien,"Quelles deux « inventions terribles » font s'effondrer le paisible Jardin d'Édiacara ?","La bouche et les dents","Les yeux et les nageoires","Les coquilles et les pinces","Les poumons et les pattes","Le dossier annonce que ce monde paisible, le Jardin d'Édiacara, s'effondre le jour où la vie invente deux choses terribles : la bouche et les dents.","Dossier ECI — L'Édiacarien"
